"species","island","year","bill_length_mm_female","bill_length_mm_male","bill_depth_mm_female","bill_depth_mm_male","flipper_length_mm_female","flipper_length_mm_male","body_mass_g_female","body_mass_g_male"
"Adelie","Biscoe",2007,187.4,195.8,92.9,91.5,909,908,173.5,188.5
"Adelie","Biscoe",2008,329.8,366.8,155,171.3,1679,1733,292,361
"Adelie","Biscoe",2009,304.7,330.4,141.6,156,1530,1548,275.75,341.5
"Adelie","Dream",2007,340.7,403.8,160.6,194.3,1665,1886,294.25,410.25
"Adelie","Dream",2008,290.2,320.9,142.3,151.1,1512,1560,273,328
"Adelie","Dream",2009,365.7,397.3,172.8,182.1,1895,1928,335.75,394.5
"Adelie","Torgersen",2007,306.2,279.3,145.3,143.4,1501,1346,278,289.75
"Adelie","Torgersen",2008,292.9,327.4,139.2,150.7,1520,1548,281.5,335.5
"Adelie","Torgersen",2009,302.2,326.8,136.7,151.9,1498,1589,255.5,302.75
"Chinstrap","Dream",2007,605.4,661.4,231.9,248.7,2453,2550,464,496.5
"Chinstrap","Dream",2008,414,462.6,155.7,176.4,1734,1825,312.5,371.5
"Chinstrap","Dream",2009,564.1,613.2,210.4,229.5,2332,2422,422.75,471.25
"Gentoo","Biscoe",2007,721,833,223.9,261.2,3377,3721,739,944
"Gentoo","Biscoe",2008,996.5,1116.4,310.9,361.2,4686,5108,1018,1244.5
"Gentoo","Biscoe",2009,925.2,1068.5,291,336.4,4274,4685,957.25,1157.25
